"blood, sweat & tears",hi-de-ho
jethro tull,bungle in the jungle
jethro tull,life is a long song
jethro tull,living in the past
jethro tull,locomotive breath
jethro tull,teacher
jethro tull,thick as a brick (part 1)
jim capaldi,love hurts
jim croce,"bad, bad leroy brown"
jim croce,i got a name
jim croce,i'll have to say i love you in a song
jim croce,operator (that's not the way it feels)
jim croce,time in a bottle
jim croce,you don't mess around with jim
jim stafford,my girl bill
jim stafford,spiders and snakes
jim stafford,wildwood weed
jimi hendrix experience,voodoo chile
jimmy buffett,margaritaville
jimmy castor bunch,troglodyte
joan armatrading,love and affection
joan baez,the night they drove old dixie down
joe cocker,cry me a river
joe cocker,high time we went
joe cocker,the letter
joe cocker,you are so beautiful
joe jackson,is she really going out with him?
joe jackson,it's different for girls
joe simon,drowning in the sea of love
joe simon,get down get down (get on the floor)
joe simon,power of love
joe south,walk a mile in my shoes
joe tex,ain't gonna bump no more (with no big fat woman)
joe tex,i gotcha
joe walsh,life's been good
joe walsh,rocky mountain way
john denver,"take me home, country roads"
john denver,annies song
john denver,im sorry
john denver,rocky mountain high
john denver,sunshine on my shoulders
john denver,take me home country roads
john denver,thank god im a country boy
john lennon,#9 dream
john lennon,imagine
john lennon,instant karma!
john lennon,mind games
john lennon,mother
john lennon,stand by me
john lennon,whatever gets you thru the night
john miles,high fly
john miles,music
john miles,slowdown
john paul young,love is in the air
john sebastian,welcome back
john stewart,gold
john travolta & olivia newton-john,summer nights
john travolta,greased lightnin'
john travolta,let her in
john travolta,sandy
john travolta and olivia newton-john,youre the one that i want
johnnie taylor,disco lady
johnnie taylor,i believe in you (you believe in me)
johnny bristol,hang on in there baby
johnny mathis and deniece williams,"too much, too little, too late"
johnny nash,i can see clearly now
johnny nash,stir it up
johnny rivers,rockin' pneumonia and the boogie woogie flu
johnny rivers,swayin' to the music (slow dancin')
johnny wakelin & the kinshasa band,black superman-muhammad ali
jonathan edwards,sunshine
joni mitchell,"you turn me on, i'm a radio"
joni mitchell,big yellow taxi
joni mitchell,help me
journey,"lovin', touchin', squeezin'"
journey,feeling that way
journey,just the same way
journey,wheel in the sky
jud strunk,daisy a day
judy collins,amazing grace
judy collins,send in the clowns
kansas,carry on wayward son
kansas,dust in the wind
kate bush,the man with the child in his eyes
kate bush,wuthering heights
kc and the sunshine band,"(shake, shake, shake) shake your booty"
kc and the sunshine band,get down tonight
kc and the sunshine band,im your boogie man
kc and the sunshine band,keep it comin' love
kc and the sunshine band,thats the way (i like it)
keith carradine,i'm easy
kenny loggins & jim messina,my music
kenny loggins & jim messina,thinking of you
kenny loggins & jim messina,your mama don't dance
kenny loggins,this is it
kenny loggins,whenever i call you friend
kenny nolan,i like dreamin'
kenny nolan,love's grown deep
kenny rogers & the first edition,something's burning
kenny rogers,lucille
kenny rogers,she believes in me
kenny rogers,the gambler
kiki dee,don't go breaking my heart
king floyd,groove me
king harvest,dancing in the moonlight
kiss,beth
kiss,calling dr. love
kiss,detroit rock city
kiss,hard luck woman
kiss,i was made for lovin' you
kiss,love gun
kiss,rock and roll all nite
kiss,shout it out loud
kiss,strutter
kool & the gang,hollywood swinging
kool & the gang,jungle boogie
kraftwerk,autobahn
kris kristofferson,why me
l.t.d.,back in love again
labelle,lady marmalade
lamont dozier,trying to hold on to my woman
larry groce,junk food junkie
leblanc & carr,falling
led zeppelin,black dog
led zeppelin,immigrant song
led zeppelin,kashmir
led zeppelin,rock and roll
led zeppelin,since i've been loving you
led zeppelin,stairway to heaven
led zeppelin,whole lotta love
lee michaels,do you know what i mean
leif garrett,i was made for dancin'
lene lovich,lucky number
leo sayer,how much love
leo sayer,long tall glasses (i can dance)
leo sayer,moonlighting
leo sayer,one man band
leo sayer,the show must go on
leo sayer,thunder in my heart
leo sayer,when i need you
leo sayer,you make me feel like dancing
linda ronstadt,blue bayou
linda ronstadt,heat wave
linda ronstadt,it's so easy
linda ronstadt,long long time
linda ronstadt,ooh baby baby
linda ronstadt,tracks of my tears
linda ronstadt,when will i be loved
linda ronstadt,youre no good
lindisfarne,lady eleanor
little feat,dixie chicken
little feat,feats don't fail me now
little feat,willin'
little river band,cool change
little river band,happy anniversary
little river band,help is on its way
little river band,lady
little river band,lonesome loser
little river band,reminiscing
lobo,don't expect me to be your friend
lobo,me and you and a dog named boo
loggins and messina,your mama don't dance
london symphony orchestra,star wars (main title)
looking glass,brandy (youre a fine girl)
lou rawls,you'll never find another love like mine
lou reed,satellite of love
lou reed,walk on the wild side
love unlimited orchestra,loves theme
love unlimited,walking in the rain with the one i love
luther ingram,(if loving you is wrong) i don't want to be right
luther ingram,if loving you is wrong i don't want to be right
lynn anderson,rose garden
lynyrd skynyrd,call me the breeze
lynyrd skynyrd,free bird
lynyrd skynyrd,gimme three steps
lynyrd skynyrd,saturday night special
lynyrd skynyrd,simple man
lynyrd skynyrd,sweet home alabama
lynyrd skynyrd,tuesday's gone
lynyrd skynyrd,what's your name
m,pop muzik
mac and katie kissoon,chirpy chirpy cheep cheep
mac davis,"baby, dont get hooked on me"
mac davis,one hell of a woman
major harris,love won't let me wait
manfred mann,blinded by the light
manfred mann,davy's on the road again
manfred mann,joybringer
manfred manns earth band,blinded by the light
manu dibango,soul makossa
maria muldaur,midnight at the oasis
marilyn mccoo and billy davis jr.,you don't have to be a star (to be in my show)
mark lindsay,arizona
marmalade,reflections of my life
marshall tucker band,heard it in a love song
marvin gaye,"got to give it up, pt. i"
marvin gaye,got to give it up (part 1)
marvin gaye,i want you
marvin gaye,inner city blues (make me wanna holler)
marvin gaye,lets get it on
marvin gaye,mercy mercy me (the ecology)
marvin gaye,my mistake (was to love you)
marvin gaye,what's going on
marvin hamlisch,the entertainer
mary macgregor,torn between two lovers
matthews southern comfort,woodstock
maureen mcgovern,the morning after
maxine nightingale,lead me on
maxine nightingale,right back where we started from
mcfadden & whitehead,ain't no stoppin' us now
meat loaf,two out of three ain't bad
meco,star wars theme/cantina band
mel & tim,starting all over again
melanie,brand new key
melanie,lay down (candles in the rain)
melissa manchester,don't cry out loud
melissa manchester,just too many people
melissa manchester,midnight blue
mfsb featuring the three degrees,tsop (the sound of philadelphia)
mfsb,tsop (the sound of philadelphia)
mfsb and the three degrees,tsop
michael jackson,ben
michael jackson,dont stop til you get enough
michael jackson,got to be there
michael jackson,i wanna be where you are
michael jackson,rock with you
michael jackson,rockin' robin
michael johnson,bluer than blue
michael martin murphey,wildfire
michael nesmith,joanne
mike oldfield,in dulce jubilo / on horseback
mike oldfield,portsmouth
mike oldfield,tubular bells
mike post,the rockford files
minnie riperton,lovin you
mocedades,eres tu (touch the wind)
montrose,bad motor scooter
montrose,rock candy
morris albert,feelings
mott the hoople,all the way from memphis
mott the hoople,all the young dudes
mott the hoople,roll away the stone
mountain,mississippi queen
mouth & macneal,how do you do
mungo jerry,baby jump
mungo jerry,in the summertime
murray head,superstar
natalie cole,i've got love on my mind
natalie cole,our love
natalie cole,this will be
nazareth,broken down angel
nazareth,love hurts
neil diamond,beautiful noise
neil diamond,cracklin rosie
neil diamond,desiree
neil diamond,forever in blue jeans
neil diamond,he ain't heavy...he's my brother
neil diamond,i am... i said
neil diamond,if you know what i mean
neil diamond,shilo
neil diamond,solitary man
neil diamond,song sung blue
neil sedaka,bad blood
neil sedaka,breakin' up is hard to do
neil sedaka,laughter in the rain
neil young,heart of gold
new york city,i'm doin' fine now
nick gilder,hot child in the city
nick lowe,(i love the sound of) breaking glass
nick lowe,cruel to be kind
nicolette larson,lotta love
nigel olsson,dancin' shoes
nilsson,coconut
nilsson,without you
nitty gritty dirt band,mr. bojangles
norman greenbaum,spirit in the sky
ocean,put your hand in the hand
odyssey,native new yorker
ohio players,fire
ohio players,funky worm
ohio players,love rollercoaster
ohio players,who'd she coo?
