b.b. king,the thrill is gone
the byrds,you ain’t goin’ nowhere
the chantays,pipeline
the crazy world of arthur brown,fire
the crystals,da doo ron ron
the crystals,he's a rebel
the dave clark five,bits and pieces
the dave clark five,do you love me
the dave clark five,glad all over
the dixie cups,chapel of love
the doors,break on through (to the other side)
the doors,hello i love you
the doors,light my fire
the doors,roadhouse blues
the doors,the end
the doors,touch me
the drifters,on broadway
the drifters,save the last dance for me
the drifters,under the boardwalk
the drifters,up on the roof
the easybeats,friday on my mind
the everly brothers,cathy's clown
the foundations,build me up buttercup
the four seasons,rag doll
the four seasons,sherry
the four seasons,walk like a man
the four tops,baby i need your lovin'
the four tops,ask the lonely
the four tops,i can't help myself
the four tops,it's the same old song
the four tops,reach out i'll be there
the guess who,no time
the impressions,it's all right
the impressions,people get ready
the isley brothers,it's your thing
the isley brothers,twist and shout
the jackson 5,i want you back
the jimi hendrix experience,voodoo child (slight return)
the jimi hendrix experience,all along the watchtower
the jimi hendrix experience,foxey lady
the jimi hendrix experience,purple haze
the kingsmen,louie louie
the kinks,a well respected man
the kinks,all day and all of the night
the kinks,sunny afternoon
the kinks,tired of waiting for you
the kinks,waterloo sunset
the kinks,you really got me
the mamas & the papas,creeque alley
the mamas & the papas,dedicated to the one i love
the mamas & the papas,monday monday
the mccoys,hang on sloopy
the miracles,going to a go-go
the miracles,ooo baby baby
the miracles,shop around
the miracles,the tracks of my tears
the miracles,you've really got a hold on me
the monkees,i'm a believer
the monkees,last train to clarksville
the moody blues,nights in white satin
the music machine,the eagle never hunts the fly
the nashville teens,tobacco road
the righteous brothers,(you're my) soul and inspiration
the righteous brothers,you've lost that lovin' feelin'
the righteous brothers,unchained melody
the rolling stones,(i can't get no) satisfaction
the rolling stones,jumpin' jack flash
the rolling stones,let's spend the night together
the rolling stones,come on
the rolling stones,get off of my cloud
the rolling stones,gimme shelter
the rolling stones,honky tonk women
the rolling stones,paint it black
the rolling stones,ruby tuesday
the rolling stones,street fighting man
the rolling stones,sympathy for the devil
the rolling stones,time is on my side
the rolling stones,under my thumb
the rolling stones,you can't always get what you want
the ronettes,be my baby
the ronettes,walking in the rain
the rooftop singers,walk right in
the searchers,when you walk in the room
the spencer davis group,gimme some lovin'
the stooges,i wanna be your dog
the supremes,stop! in the name of love
the supremes,you keep me hangin' on
the supremes,baby love
the supremes,back in my arms again
the supremes,where did our love go
the supremes,you can't hurry love
the temptations,ain't too proud to beg
the temptations,cloud nine
the temptations,i can't get next to you
the temptations,my girl
the temptations,the way you do the things you do
the tokens,the lion sleeps tonight
the trashmen,surfin’ bird
the troggs,night of the long grass
the troggs,wild thing
the turtles,happy together
the velvet underground,heroin
the velvet underground,i'm waiting for the man
the ventures,walk--don't run
the who,i can see for miles
the who,i can't explain
the who,my generation
the who,pinball wizard
the yardbirds,for your love
the yardbirds,heart full of soul
the yardbirds,shapes of things
the young rascals,groovin'
the young rascals,good lovin'
the young rascals,people got to be free
the youngbloods,get together
the zombies,she's not there
the zombies,tell her no
the zombies,time of the season
thunderclap newman,something in the air
tom jones,it's not unusual
trini lopez,if i had a hammer
van morrison,brown eyed girl
van morrison,sweet thing
vanilla fudge,you keep me hangin' on
wilson pickett,in the midnight hour
wilson pickett,mustang sally
andy williams,the village of st. bernadette
anita bryant,in my little corner of the world
anita bryant,paper roses
annette,o dio mio
barrett strong,money
bill black's combo,white silver sands
billy bland,let the little girl dance
bob luman,let's think about livin'
bobby rydell,little bitty girl
bobby rydell,swingin' school
bobby rydell,volare (nel blu dipinto di blu)
bobby rydell,wild one
bobby vee,devil or angel
brenda lee,i want to be wanted
brenda lee,sweet nothin's
brenda lee,that's all you gotta do
brian hyland,itsy bitsy teenie weenie yellow polkadot bikini
brook benton,kiddio
brook benton and dinah washington,baby (you got what it takes)
brothers four,greenfields
charlie rich,lonely weekends
connie francis,among my souvenirs
connie francis,everybody's somebody's fool
connie francis,mama
connie francis,my heart has a mind of its own
connie stevens,sixteen reasons
conway twitty,lonely blue boy
crests,step by step
dinah washington and brook benton,a rockin' good way
dion and the belmonts,where or when
donnie brooks,mission bell
duane eddy,because they're young
elvis presley,it's now or never
elvis presley,stuck on you
everly brothers,let it be me
everly brothers,so sad
everly brothers,when will i be loved
fats domino,walking to new orleans
fendermen,mule skinner blues
ferrante and teicher,theme from the apartment
four preps,down by the station
frankie avalon,why
freddie cannon,way down yonder in new orleans
guy mitchell,heartaches by the number
hank ballard and the midnighters,finger poppin' time
hank locklin,"please help me, i'm falling"
hollywood argyles,alley-oop
jack scott,burning bridges
jack scott,what in the world's come over you
jackie wilson,doggin' around
jackie wilson,night
jeanne black,he'll have to stay
jim reeves,he'll have to go
jimmy charles,a million to one
jimmy clanton,go jimmy go
jimmy jones,good timin'
jimmy jones,handy man
joe jones,you talk too much
johnny and the hurricanes,beatnik fly
johnny burnette,dreamin'
johnny horton,sink the bismark
johnny preston,cradle of love
johnny preston,running bear
johnny tillotson,poetry in motion
larry hall,sandy
larry verne,mr. custer
little dippers,forever
lloyd price,lady luck
mark dinning,teen angel
marty robbins,el paso
marv johnson,i love the way you love
marv johnson,you've got what it takes
neil sedaka,stairway to heaven
paul anka,it's time to cry
paul anka,my home town
paul anka,puppy love
paul evans,happy-go-lucky me
percy faith,"theme from ""a summer place"""
platters,harbor lights
ray peterson,tell laura i love her
ricky nelson,young emotions
ron holden,love you so
safaris and the phantom's band,image of a girl
skip and flip,cherry pie
spencer ross,tracy's theme
steve lawrence,footsteps
steve lawrence,pretty blue eyes
the browns,the old lamplighter
toni fisher,the big hurt
adam wade,take good care of her
adam wade,the writing on the wall
arthur lyman,yellow bird
barry mann,"who put the bomp (in the bomp, bomp, bomp)"
ben e. king,spanish harlem
ben e. king,stand by me
bert kaempfert and his orch.,wonderland by night
bob moore,mexico
bobby darin,you must have been a beautiful baby
bobby lewis,one track mind
bobby lewis,tossin' and turnin'
bobby rydell,good time baby
bobby vee,rubber ball
bobby vee,take good care of my baby
brenda lee,dum dum
brenda lee,you can depend on me
brook benton,the boll weevil song
brook benton,think twice
buzz clifford,baby sittin' boogie
caesar and the romans,those oldies but goodies
capris,there's a moon out tonight
carla thomas,gee whiz (look at his eyes)
chubby checker,let's twist again
chubby checker,pony time
chubby checker,the fly
"clarence ""frog man"" henry",i don't know why but i do
connie francis,breakin' in a brand new broken heart
connie francis,where the boys are
curtis lee,pretty little angel eyes
dave brubeck,take five
dee clark,raindrops
del shannon,hats off to larry
dick and deedee,the mountain's high
don gibson,sea of heartbreak
dovells,bristol stomp
drifters,please stay
echoes,baby blue
eddie hodges,i'm gonna knock on your door
elvis presley,(marie's the name) his latest flame
elvis presley,are you lonesome tonight
elvis presley,little sister
elvis presley,surrender
ernie k-doe,mother-in-law
everly brothers,walk right back
faron young,hello walls
fats domino,let the four winds blow
ferlin husky,wings of a dove
ferrante and teicher,exodus
floyd cramer,on the rebound
floyd cramer,san antonio rose
four preps,more money for you and me medley
gary u.s. bonds,quarter to three
gary u.s. bonds,school is out
gene mcdaniels,a hundred pounds of clay
highwaymen,michael
ike and tina turner,it's gonna work out fine
jimmy dean,big bad john
jive five,my true story
joe dowell,wooden heart (muss i denn)
johnny tillotson,without you
jorgen ingmann,apache
kokomo,asia minor
lawrence welk,calcutta
lee dorsey,ya ya
lettermen,the way you look tonight
linda scott,don't bet money honey
linda scott,i've told every little star
lonnie donegan,does your chewing gum lose its flavor (on the bedpost overnight)
mar-keys,last night
marty robbins,don't worry
matt monro,my kind of girl
neil sedaka,calendar girl
paris sisters,i love how you love me
pat boone,moody river
patsy cline,i fall to pieces
paul anka,"tonight my love, tonight"
ral donner,you don't know what you've got (until you lose it)
ray charles,one mint julep
ray peterson,missing you
ricky nelson,travelin' man
rosie and the originals,angel baby
roy orbison,cryin'
shirelles,mama said
steve lawrence,portrait of my love
string-a-longs,wheels
sue thompson,sad movies (make me cry)
the shirelles,dedicated to the one i love
timi yuro,hurt
tony orlando,bless you
troy shondell,this time
ace cannon,tuff
barbara george,i know
barbara lynn,you'll lose a good thing
beach boys,surfin' safari
bent fabric,alley cat
billy joe and the checkmates,percolator (twist)
billy vaughn,a swingin' safari
bobby darin,things
bobby rydell,i'll never dance again
bobby vinton,roses are red
booker t and the mg's,green onions
brenda lee,break it to me gently
brenda lee,everybody loves me but you
brian hyland,sealed with a kiss
burl ives,a little bitty tear
burl ives,funny way of laughin'
chris montez,let's dance
chubby checker,slow twistin'
claude king,wolverton mountain
claudine clark,party lights
clyde mcphatter,"lover, please"
connie francis,don't break the heart that loves you
corsairs,smoky places
crystals,uptown
"dave ""baby"" cortez",rinky dink
david rose,the stripper
dee dee sharp,gravy
dee dee sharp,mashed potato time
dick and deedee,tell me
dickie lee,patches
dion,little diane
dion,lovers who wander
don and juan,what's your name
duprees,you belong to me
eddie hodges,"(girls, girls, girls) were made to love"
elvis presley,good luck charm
emilio pericoli,al di la'
ernie maresca,shout! shout! (knock yourself out)
everly brothers,crying in the rain
freddy cannon,palisades park
gary u.s. bonds,dear lady twist
gary u.s. bonds,"twist, twist senora"
gene chandler,duke of earl
gene pitney,the man who shot liberty valance
gene pitney,town without pity
henry mancini,moon river
highwaymen,cotton fields
ikettes,i'm blue
james darren,her royal majesty
jay and the americans,she cried
jimmy clanton,venus in blue jeans
jimmy dean,p.t. 109
jimmy smith,walk on the wild side
jimmy soul,twistin' matilda
joanie sommers,johnny get angry
joe henderson,snap your fingers
joey dee,shout
joey dee and the starlighters,peppermint twist
johnny crawford,cindy's birthday
johnny tillotson,it keeps right on a-hurtin'
kenny ball,midnight in moscow
ketty lester,love letters
king curtis,soul twist
kingston trio,where have all the flowers gone
larry finnegan,dear one
marvelettes,playboy
mary wells,the one who really loves you
mary wells,you beat me to the punch
mr. acker bilk,stranger on the shore
nat king cole,ramblin' rose
neil sedaka,breaking up is hard to do
orlons,wah-watusi
pat boone,speedy gonzales
patsy cline,she's got you
paul anka,love me warm and tender
"peter, paul and mary",if i had a hammer
ray charles,you don't know me
ray stevens,ahab the arab
richard chamberlain,theme from dr. kildare
rick nelson,teen age idol
rick nelson,young world
ronnie and the hi-lites,i wish that we were married
roy orbison,dream baby
sam cooke,having a party
sam cooke,twistin' the night away
sensations,let me in
shelley fabares,johnny angel
shirelles,baby it's you
shirelles,soldier boy
sue thompson,norman
tommy roe,sheila
walter brennan,old rivers
al martino,i love you because
al martino,"painted, tainted rose"
allan sherman,"hello muddah, hello fadduh! (a letter from camp)"
andy williams,can't get used to losing you
angels,my boyfriend's back
beach boys,shut down
bill anderson,still
bill pursell,our winter love
bobby bare,500 miles away from home
bobby darin,you're the reason i'm living
bobby vee,the night has a thousand eyes
bobby vinton,blue on blue
bobby vinton,blue velvet
brenda lee,losing you
cascades,rhythm of the rain
chiffons,he's so fine
crystals,then he kissed me
dale and grace,i'm leaving it up to you
dee dee sharp,do the bird
del shannon,little town flirt
dion,ruby baby
dixiebelles with cornbread and jerry,(down at) papa joe's
doris troy,just one look
dovells,you can't sit down
elvis presley,(you're the) devil in disguise
elvis presley,bossa nova baby
essex,easier said than done
eydie gorme,blame it on the bossa nova
four seasons,candy girl
garnet mimms and the enchanters,cry baby
henry mancini,days of wine and roses
inez foxx,mockingbird
jan bradley,mama didn't lie
jaynetts,sally go 'round the roses
jimmy gilmer and the fireballs,sugar shack
jimmy soul,if you wanna be happy
johnny cash,ring of fire
johnny mathis,what will my mary say
kai winding,more
kyu sakamoto,sukiyaki
lesley gore,judy's turn to cry
lesley gore,she's a fool
little peggy march,i will follow him
little stevie wonder,fingertips (part ii)
lonnie mack,memphis
los indios tabajaras,maria elena
lou christie,two faces have i
major lance,the monkey time
martha and the vandellas,come and get these memories
martha and the vandellas,heat wave
marvin gaye,pride and joy
miracles,mickey's monkey
nat king cole,"that sunday, that summer"
nat king cole,those lazy hazy crazy days of summer
ned miller,from a jack to a king
nino tempo and april stevens,deep purple
orlons,south street
paul and paula,hey paula
"peter, paul and mary",blowin' in the wind
randy and the rainbows,denise
ray charles,busted
ray charles,take these chains from my heart
rebels,wild weekend
rick nelson,fools rush in
rolf harris,"tie me kangaroo down, sport"
roy orbison,in dreams
roy orbison,mean woman blues
ruby and the romantics,our day will come
rufus thomas,walking the dog
sam cooke,little red rooster
shirelles,foolish little girl
skeeter davis,i can't stay mad at you
skeeter davis,the end of the world
steve lawrence,go away little girl
sunny and the sunglows,talk to me
the cookies,don't say nothin' bad about my baby
tommy roe,everybody
tony bennett,i wanna be around
tymes,so much in love
village stompers,washington square
al hirt,cotton candy
al hirt,java
al martino,i love you more and more every day
andy williams,a fool never learns
bachelors,diane
barbra streisand,people
beatles,do you want to know a secret
beatles,i saw her standing there
beatles,love me do
betty everett,the shoop shoop song (it's in his kiss)
betty everett and jerry butler,let it be me
billy j. kramer and the dakotas,bad to me
billy j. kramer and the dakotas,little children
bobby freeman,c'mon and swim
bobby goldsboro,see the funny little clown
bobby vinton,there! i've said it again
chad and jeremy,a summer song
danny williams,white on white
dave clark five,because
dave clark five,can't you see that she's mine
dean martin,everybody loves somebody
dean martin,the door is still open to my heart
diane renay,navy blue
dionne warwick,anyone who had a heart
dusty springfield,wishin' and hopin'
four seasons,dawn (go away)
four seasons,ronnie
four tops,baby i need your loving
gale garnett,we'll sing in the sunshine
gene pitney,it hurts to be in love
gene simmons,haunted house
gerry and the pacemakers,don't let the sun catch you crying
gerry and the pacemakers,how do you do it!
hondells,little honda
honeycombs,have i the right?
impressions,i'm so proud
impressions,keep on pushing
j. frank wilson and the cavaliers,last kiss
jan and dean,the little old lady (from pasadena)
jay and the americans,come a little bit closer
jelly beans,i wanna love him so bad
jimmy hughes,steal away
joe hinton,funny (how time slips away)
johnny rivers,memphis
kingsmen,money
louis armstrong,"hello, dolly!"
major lance,"um, um, um, um, um, um"
marketts,out of limits
millie small,my boy lollipop
nancy wilson,(you don't know) how glad i am
new christy minstrels,today
newbeats,bread and butter
peter and gordon,a world without love
ray charles singers,love me with all your heart
reflections,(just like) romeo and juliet
rick nelson,for you
rip chords,hey little cobra
"robert maxwell, his harp and orch.",shangri-la
roger miller,chug-a-lug
roger miller,dang me
ronny and the daytonas,g.t.o.
roy orbison,it's over
roy orbison,"oh, pretty woman"
sammy davis jr.,the shelter of your arms
searchers,don't throw your love away
serendipity singers,don't let the rain come down (crooked little man)
stan getz and astrud gilberto,the girl from ipanema
tams,what kind of fool (do you think i am)
terry stafford,suspicion
tommy tucker,hi-heel sneakers
ad libs,the boy from new york city
barbara lewis,baby i'm yours
barbara mason,"yes, i'm ready"
barry mcguire,eve of destruction
beau brummels,just a little
beau brummels,"laugh, laugh"
bert kaempfert and his orch.,red roses for a blue lady
billy joe royal,down in the boondocks
bobby goldsboro,little things
brenda lee,too many rivers
cher,all i really want to do
dave clark five,catch us if you can
dave clark five,i like it like that
del shannon,keep searchin'
dickie lee,laurie (strange things happen)
"dino, desi and billy",i'm a fool
elvis presley,crying in the chapel
fortunes,you've got your troubles
four tops,i can't help myself (sugar pie honey bunch)
freddie and the dreamers,i'm telling you now
gary lewis and the playboys,count me in
gary lewis and the playboys,save your heart for me
gary lewis and the playboys,this diamond ring
gerry and the pacemakers,ferry cross the mersey
glenn yarbrough,baby the rain must fall
herman's hermits,can't you hear my heartbeat
herman's hermits,"i'm henry viii, i am"
herman's hermits,mrs. brown you've got a lovely daughter
herman's hermits,silhouettes
herman's hermits,wonderful world
horst jankowski,a walk in the black forest
ian whitcomb,you turn me on
jack jones,the race is on
jackie deshannon,what the world needs now is love
james brown and the famous flames,papa's got a brand new bag
jay and the americans,"cara, mia"
jewel akens,the birds and the bees
joe tex,hold what you've got
johnny rivers,seventh son
jr. walker and the all stars,shotgun
kingsmen,the jolly green giant
little anthony and the imperials,take me back
marvin gaye,i'll be doggone
mel carter,"hold me, thrill me, kiss me"
moody blues,go now
patti page,"hush, hush, sweet charlotte"
patty duke,don't just stand there
peter and gordon,i go to pieces
peter and gordon,true love ways
petula clark,downtown
petula clark,i know a place
ramsey lewis trio,"the ""in"" crowd"
righteous brothers,just once in my life
roger miller,king of the road
rolling stones,the last time
roy head,treat her right
sam cooke,shake
searchers,love potion number nine
seekers,i'll never find another you
shirley bassey,goldfinger
shirley ellis,the name game
sonny,laugh at me
sonny and cher,baby don't go
sounds orchestral,cast your fate to the wind
strangeloves,i want candy
tom jones,what's new pussycat?
turtles,it ain't me babe
vic dana,red roses for a blue lady
wayne fontana and the mindbenders,game of love
we five,you were on my mind
? and the mysterians,96 tears
b.j. thomas and the triumphs,i'm so lonesome i could cry
beach boys,barbara ann
beach boys,sloop john b
beatles,nowhere man
bob dylan,rainy day women #12 and 35
bob lind,elusive butterfly
bobby darin,if i were a carpenter
bobby hebb,sunny
brenda lee,coming on strong
carla thomas,b-a-b-y
cher,bang bang (my baby shot me down)
chris montez,the more i see you
crispian st. peters,the pied piper
cyrkle,red rubber ball
david houston,almost persuaded
deon jackson,love makes the world go round
dionne warwick,message to michael
dusty springfield,you don't have to say you love me
frank sinatra,strangers in the night
gary lewis and the playboys,she's just my style
happenings,see you in september
herb alpert and the tijuana brass,zorba the greek
herman's hermits,dandy
hollies,bus stop
james and bobby purify,i'm your puppet
jimmy ruffin,what becomes of the brokenhearted
johnny rivers,poor side of town
johnny rivers,secret agent man
lee dorsey,working in the coal mine
left banke,walk away renee
los bravos,black is black
lou christie,lightnin' strikes
lou rawls,love is a hurtin' thing
lovin' spoonful,daydream
lovin' spoonful,did you ever have to make up your mind?
marvelettes,don't mess with bill
mindbenders,a groovy kind of love
mitch ryder and the detroit wheels,devil with a blue dress on / good golly miss molly
nancy sinatra,these boots are made for walkin'
neil diamond,"cherry, cherry"
new vaudeville band,winchester cathedral
outsiders,time won't let me
paul revere and the raiders,hungry
paul revere and the raiders,just like me
peter and gordon,lady godiva
peter and gordon,woman
petula clark,my love
ray charles,crying time
ray conniff and the singers,somewhere my love (lara's theme)
robert parker,barefootin'
roger williams,born free
rolling stones,19th nervous breakdown
sam the sham and the pharaohs,lil' red riding hood
sandpipers,guantanamera
sandy posey,born a woman
sgt. barry sadler,the ballad of the green berets
shades of blue,oh how happy
shadows of knight,gloria
simon and garfunkel,i am a rock
slim harpo,baby scratch my back
supremes,my world is empty without you
t-bones,no matter what shape (your stomach's in)
temptations,beauty is only skin deep
the capitols,cool jerk
tommy roe,hooray for hazel
tommy roe,sweet pea
turtles,you baby
vogues,five o'clock world
wilson pickett,634-5789
wilson pickett,"land of 1,000 dances"
aaron neville,tell it like it is
aretha franklin,baby i love you
aretha franklin,i never loved a man (the way i love you)
association,never my love
bar-kays,soul finger
bill cosby,little ole man (uptight-everything's alright)
blues magoos,(we ain't got) nothin' yet
bobby vee and the strangers,come back when you grow up
bobby vinton,please love me forever
booker t and the mg's,groovin'
brenton wood,gimme little sign
buckinghams,don't you care
buckinghams,kind of a drag
buckinghams,"mercy, mercy, mercy"
casinos,then you can tell me goodbye
cowsills,"the rain, the park and other things"
diana ross and the supremes,reflections
dionne warwick,alfie
ed ames,my cup runneth over
electric prunes,i had too much to dream last night
engelbert humperdinck,release me (and let me love again)
esquires,get on up
every mothers' son,come on down to my boat
fifth dimension,"up, up and away"
five americans,western union
four tops,bernadette
frankie valli,can't take my eyes off you
grass roots,let's live for today
happenings,i got rhythm
herman's hermits,there's a kind of hush
hollies,carrie ann
hollies,on a carousel
hombres,let it out (let it all hang out)
james brown and the famous flames,cold sweat
janis ian,society's child
jay and the techniques,"apples, peaches, pumpkin pie"
johnny rivers,baby i need your lovin'
keith,98.6
lesley gore,california nights
lulu,to sir with love
martha and the vandellas,jimmy mack
marvin gaye and tammi terrell,your precious love
monkees,"a little bit you, a little bit me"
monkees,daydream believer
monkees,pleasant valley sunday
music explosion,little bit o' soul
nancy sinatra and frank sinatra,somethin' stupid
neil diamond,"girl, you'll be a woman soon"
neil diamond,thank the lord for the night time
peaches and herb,close your eyes
"peter, paul and mary",i dig rock and roll music
petula clark,don't sleep in the subway
petula clark,this is my song
ray charles,here we go again
robert knight,everlasting love
royal guardsmen,snoopy vs. the red baron
sandy posey,i take it back
scott mckenzie,san francisco (be sure to wear flowers in your hair)
seekers,georgy girl
sonny and cher,the beat goes on
soul survivors,expressway to your heart
stevie wonder,i was made to love her
strawberry alarm clock,incense and peppermints
supremes,love is here and now you're gone
supremes,the happening
temptations,you're my everything
tom jones,"green, green grass of home"
tommy james and the shondells,i think we're alone now
tommy james and the shondells,mirage
tremeloes,here comes my baby
tremeloes,silence is golden
turtles,she'd rather be with me
vikki carr,it must be him
wilson pickett,funky broadway
young rascals,how can i be sure
young rascals,i've been lonely too long
1910 fruitgum company,"1, 2, 3, red light"
1910 fruitgum company,simon says
american breed,"bend me, shape me"
archie bell and the drells,tighten up
aretha franklin,(sweet sweet baby) since you've been gone
aretha franklin,i say a little prayer
bee gees,i've gotta get a message to you
bobby goldsboro,honey
box tops,cry like a baby
clarence carter,slip away
classics iv,spooky
cliff nobles and co.,the horse
cowsills,indian lake
creedence clearwater revival,susie q.
delfonics,la-la means i love you
dells,stay in my corner
diana ross and the supremes,love child
dionne warwick,(theme from) valley of the dolls
dionne warwick,do you know the way to san jose
eric burdon and the animals,sky pilot
fifth dimension,stoned soul picnic
fireballs,bottle of wine
foundations,"baby, now that i've found you"
