"lil wayne, wiz khalifa & imagine dragons with logic & ty dolla $ign feat. x ambassadors",sucker for pain
elle king,shame
empire of the sun,walking on a dream
escape the fate,one for the money
evanescence,what you want
fall out boy featuring wyclef jean,dear future self (hands up)
fall out boy,centuries
fall out boy,champion
fall out boy,hold me tight or don't
fall out boy,my songs know what you did in the dark (light em up)
family of the year,hero
filter,what do you say
finger eleven,living in a dream
fitz & the tantrums,fools gold
fitz & the tantrums,handclap
fitz & the tantrums,out of my league
fitz & the tantrums,the walker
five finger death punch featuring rob halford of judas priest,lift me up
five finger death punch,bad company
five finger death punch,far from home
five finger death punch,gone away
five finger death punch,house of the rising sun
five finger death punch,i apologize
five finger death punch,inside out
five finger death punch,jekyll and hide
five finger death punch,my nemesis
five finger death punch,remember everything
five finger death punch,the pride
five finger death punch,under and over it
five finger death punch,walk away
five finger death punch,wrong side of heaven
florence + the machine,"no light, no light"
florence + the machine,dog days are over
florence + the machine,ship to wreck
flyleaf,again
foals,exits
foals,mountain at my gates
foo fighters,bridge burning
foo fighters,outside
foo fighters,saint cecilia
foo fighters,these days
foster the people,best friend
foster the people,coming of age
foster the people,don't stop (color on the walls)
foster the people,helena beat
foster the people,worst nites
foxy shazam,i like it
frank turner,recovery
franz ferdinand,always ascending
from ashes to new,through it all
garbage,blood for poppies
george ezra,budapest
george ezra,shotgun
ghost,cirice
ghost,from the pinnacle to the pit
glass animals,life itself
godsmack,cryin' like a bi**h!
godsmack,love-hate-sex-pain
godsmack,rocky mountain way
godsmack,something different
godsmack,what's next?
gorillaz featuring george benson,humility
green day,let yourself go
green day,revolution radio
grouplove,colours
grouplove,itchin' on a photograph
grouplove,tongue tied
grouplove,ways to go
grouplove,welcome to your life
halestorm,i am the fire
halestorm,i miss the misery
halestorm,it's not you
halestorm,love bites (so do i)
halestorm,mayhem
halestorm,mz. hyde
heavens basement,"fire, fire"
hellyeah,hell of a time
hellyeah,hush
hellyeah,moth
hellyeah,i don't care anymore
highly suspect,bloodfeather
highly suspect,little one
highly suspect,lydia
hinder,all american nightmare
hinder,what ya gonna do
hollywood undead,hear me now
holy white hounds,switchblade
houndmouth,sedona
hozier featuring mavis staples,nina cried power
hozier,almost (sweet music)
i prevail,alone
i prevail,breaking down
i prevail,hurricane
illenium featuring jon bellion,good things fall apart
imagine dragons,bad liar
imagine dragons,i bet my life
imagine dragons,it's time
imagine dragons,roots
imagine dragons,shots
in this moment,blood
in this moment,sick like me
in this moment,whore
incubus,"promises, promises"
incubus,absolution calling
incubus,adolescents
incubus,nimble bastard
j. roddy walston & the business,heavy bells
j. roddy walston & the business,take it as it comes
jr jr,gone
jack johnson,you and your heart
jack white,lazaretto
jack white,love interruption
jack white,sixteen saltines
james bay,hold back the river
james morrison,broken strings
jane's addiction,irresistible force
jimmy eat world,my best theory
jimmy eat world,sure and certain
john mayer,in the blood
john mayer,love on the weekend
john mayer,new light
joywave,somebody new
judah & the lion,take it all back
judah and the lion,suit and jacket
judah and the lion,why did you run?
kongos,come with me now
kongos,i'm only joking
kongos,take it from me
kaleo,all the pretty girls
kaleo,no good
kaleo,way down we go
katy perry,i kissed a girl
katy perry,waking up in vegas
kid rock,born free
kid rock,first kiss
kid rock,let's ride
killswitch engage,always
kings of leon,pyro
kings of leon,supersoaker
kings of leon,wait for me
kings of leon,waste a moment
kings of leon,closer
kings of leon,radioactive
kings of leon,reverend
korn featuring skrillex & kill the noise,narcissistic cannibal
korn featuring skrillex,get up!
korn,hater
korn,oildale (leave me alone)
korn,rotting in vain
korn,spike in my veins
korn,you'll never find me
lake street dive,good kisser
lana del rey featuring the weeknd,lust for life
lana del rey,doin' time
lana del rey,love
let yourself go,71
life in the city,50
like a storm,become the enemy
linkin park featuring daron malakian,rebellion
linkin park featuring kiiara,heavy
linkin park featuring rakim,guilty all the same
linkin park x steve aoki,a light that never closes
linkin park,castle of glass
linkin park,crawling
linkin park,in the end
linkin park,iridescent
linkin park,lost in the echo
linkin park,numb
linkin park,one more light
linkin park,what i've done
local natives,when am i gonna lose you
lord huron,the night we met
lorde,green light
lorde,perfect places
lorde,yellow flicker beat
ms mr,hurricane
machine gun kelly featuring yungblud & travis barker,i think i'm okay
macklemore & ryan lewis featuring wanz,thrift shop
manchester orchestra,the gold
marian hill,down
marilyn manson,deep six
marshmello featuring bastille,happier
mastodon,curl of the burl
matt maeson,cringe
meg myers,running up that hill
meg myers,sorry
metallica,moth into flame
metric,breathing underwater
metric,gold guns girls
metric,youth without youth
middle class rut,new low
miike snow,genghis khan
milky chance,stolen dance
missio,middle fingers
modest mouse,lampshade on fire
morning parade,headlights
mudvayne,scream with me
mumford & sons,believe
mumford & sons,ditmas
mumford & sons,guiding light
mumford & sons,little lion man
mumford & sons,lover of the light
mumford & sons,roll away your stone
mumford & sons,the cave
mumford & sons,the wolf
mumford and sons,beloved
mumford and sons,blind leading the blind
muse,dead inside
muse,dig down
muse,mercy
muse,neutron star collision (love is forever)
muse,pressure
muse,reapers
muse,resistance
muse,something human
muse,thought contagion
muse,undisclosed desires
my chemical romance,bulletproof heart
my chemical romance,na na na (na na na na na na na na na)
my chemical romance,sing
nathaniel rateliff & the night sweats,s.o.b.
nathaniel rateliff and the night sweats,you worry me
neon trees,1983
neon trees,animal
neon trees,everybody talks
neon trees,sleeping with a friend
new medicine,race you to the bottom
new politics,harlem
new politics,one of us
new politics,tonight you're perfect
nickelback,bottoms up
nickelback,million miles an hour
nickelback,shakin' hands
nickelback,this afternoon
nickelback,this means war
nine inch nails,came back haunted
nine inch nails,less than
no doubt,settle down
nothing but thieves,trip switch
nothing more,here's to heartaches
nothing more,jenny
nothing more,mr. mtv
nothing more,this is the time (ballast)
of monsters and men,crystals
of monsters and men,little talks
of monsters and men,mountain sound
of monsters and men,alligator
of monsters and men,wars
oliver tree,hurt
otherwise,i don't apologize (1000 pictures)
otherwise,soldiers
ozzy osbourne,life won't wait
p.o.d.,beautiful
p.o.d.,higher
p.o.d.,lost in forever (scream)
panic! at the disco feat. lolo,miss jackson
panic! at the disco,hallelujah
papa roach,burn
papa roach,falling apart
papa roach,gravity
papa roach,kick in the teeth
papa roach,leader of the broken hearts
papa roach,no matter what
papa roach,still swingin'
papa roach,where did the angels go
paramore,brick by boring brick
pearl jam,can't deny me
pearl jam,just breathe
pearl jam,lightning bolt
pearl jam,mind your manners
pearl jam,sirens
phantogram,fall in love
phantogram,you don't get me high anymore
phoenix,1901
phoenix,entertainment
phoenix,lisztomania
phoenix,trying to be cool
pop evil,beautiful
pop evil,boss' daughter
pop evil,last man standing
pop evil,monster you made
pop evil,purple
pop evil,take it all
pop evil,ways to get high
portugal. the man,live in the moment
portugal. the man,people say
portugal. the man,purple yellow red and blue
priory,weekend
puddle of mudd,spaceship
puddle of mudd,stoned
queen & david bowie,under pressure
queen,another one bites the dust
queen,bohemian rhapsody
queen,don't stop me now
queen,radio ga ga
queen,somebody to love
queen,we are the champions
queen,we will rock you
queens of the stone age,i sat by the ocean
queens of the stone age,the way you used to do
rag’n’bone man,human
rainbow kitten surprise,fever pitch
real estate,darling
red hot chili peppers,go robot
red hot chili peppers,look around
red hot chili peppers,monarchy of roses
redlight king,born to rise
redlight king,bullet in my hand
redlight king,comeback
redlight king,old man
redlight king,times are hard
rev theory,justice
rise against,help is on the way
rise against,house on fire
rise against,i don't want to be here anymore
rise against,make it stop (september's children)
rise against,satellite
rise against,the violence
rise against,wait for me
rob zombie,dead city radio and the new gods of supertown
rob zombie,in the age of the consecrated vampire we all get high
rob zombie,we're an american band
robert delong,long way down
saint asonia,better place
saint asonia,let me live my life
saint motel,move
saint motel,my type
saint motel,van horn
saving abel,bringing down the giant
saving abel,miss america
scouting for girls,heartbeat
scouting for girls,she's so lovely
seether,here and now
seether,no resolution
seether,nobody praying for me
seether,same damn life
seether,save today
seether,weak
serj tankian,figure it out
sevendust,decay
sevendust,thank you
sevendust,unraveling
shaed,thunder
shaed,trampoline
shaman's harvest,in chains
shinedown,adrenaline
shinedown,asking for it
shinedown,enemies
shinedown,i'll follow you
shinedown,if you only knew
sick puppies,gunfight
sick puppies,maybe
sick puppies,odd one
sick puppies,riptide
sick puppies,stick to your guns
sick puppies,there's no going back
silversun pickups,bloody mary (nerve endings)
silversun pickups,cannibal
silversun pickups,circadian rhythm (last dance)
silversun pickups,nightlight
silversun pickups,the pit
silversun pickups,the royal we
sir sly,high
sixx: a.m.,gotta get it right
sixx: a.m.,lies of the beautiful people
sixx: a.m.,prayers for the damned
sixx: a.m.,rise
sixx: a.m.,stars
sixx: a.m.,this is gonna hurt
skillet,awake and alive
skillet,hero
skillet,it's not me it's you
skillet,monster
skillet,not gonna die
skillet,sick of it
slash featuring myles kennedy & the conspirators,anastasia
slash featuring myles kennedy & the conspirators,bent to fly
slash featuring myles kennedy & the conspirators,standing in the sun
slipknot,killpop
slipknot,snuff
slipknot,the devil in i
slipknot,unsainted
smith and thell featuring swedish jam factory,forgive me friend
snow patrol & martha wainwright,set the fire to the third bar
social distortion,machine gun blues
soundgarden,black rain
soundgarden,halfway there
spoon,hot thoughts
staind,eyes wide open
staind,now
starset,carnivore
starset,halo
starset,my demons
stone sour,absolute zero
stone sour,digital (did you tell)
stone sour,do me a favor
stone sour,hesitate
stone temple pilots with chester bennington,black heart
sublime with rome,panic
switchfoot,afterlife
switchfoot,dark horses
switchfoot,mess of me
switchfoot,the sound (john m. perkins' blues)
switchfoot,who we are
tame impala,borderline
tame impala,elephant
the 1975,give yourself a try
the 1975,love it if we made it
the 1975,somebody else
the airborne toxic event,changing
the black eyed peas,rock that body
the black keys,go
the black keys,gotta get away
the black keys,howlin' for you
the black keys,little black submarines
the black keys,weight of love
the chainsmokers featuring coldplay,something just like this
the decemberists,this is why we fight
the dirty heads,my sweet summer
the dirty heads,spread too thin
the dirty heads,that's all i need
the dirty heads,vacation
the gaslight anthem,45
the head and the heart,all we ever knew
the head and the heart,missed connection
the interrupters,she's kerosene
the joy formidable,whirring
the killers,run for cover
the killers,runaways
the killers,the man
the kooks,junk of the heart (happy)
the libertines,can't stand me now
the libertines,don't look back into the sun
the lumineers,angela
the lumineers,cleopatra
the lumineers,gloria
the lumineers,life in the city
the lumineers,ophelia
the lumineers,stubborn love
the mowgli's,san francisco
the naked and famous,punching in a dream
the naked and famous,young blood
the national,you had your soul with you
the neighbourhood,afraid
the neighbourhood,scary love
the neighbourhood,sweater weather
the offspring,days go by
the raconteurs,help me stranger
the revivalists,all my friends
the revivalists,wish i knew you
the shins,simple song
the strumbellas,spirits
the struts,body talks
the struts,could have been me
the struts,kiss this
the struts,one night only
the temper trap,sweet disposition
the temperance movement,take it back
the wombats,jump into the fog
the xx,on hold
them crooked vultures,new fang
theory of a deadman,angel
theory of a deadman,bi**h came back
theory of a deadman,blow
theory of a deadman,drown
theory of a deadman,hurricane
theory of a deadman,little smirk
theory of a deadman,all or nothing
theory of a deadman,history of violence
thirty seconds to mars,city of angels
thirty seconds to mars,closer to the edge
thirty seconds to mars,kings and queens
thirty seconds to mars,up in the air
thirty seconds to mars,walk on water
three days grace,fallen angel
three days grace,human race
three days grace,lost in you
thrice,black honey
trapt,sound off
trivium,until the world goes cold
two door cinema club,sleep alone
two feet,i feel like i'm drowning
vampire weekend,a-punk
vampire weekend,diane young
vampire weekend,harmony hall
vampire weekend,this life
vampire weekend,unbelievers
van halen,tattoo
vance joy,fire and the flood
vance joy,lay it all on me
vance joy,lay it on me
vance joy,mess is mine
vance joy,riptide
vance joy,saturday sun
volbeat,a warrior's call
volbeat,dead but rising
volbeat,die to live
volbeat,doc holliday
volbeat,fallen
volbeat,seal the deal
walk the moon,anna sun
walk the moon,different colors
walk the moon,kamikaze
walk the moon,shut up + dance
walk the moon,tightrope
walk the moon,one foot
we are harlot,dancing on nails
we as human featuring lacey strum,take the bullets away
weezer,africa
weezer,back to the shack
weezer,feels like summer
weezer,happy hour
weezer,king of the world
weezer,thank god for girls
weezer,the end of the game
white reaper,might be right
wolf alice,mona lisa smile
x ambassadors,ahead of myself
x ambassadors,unsteady
yungblud and halsey featuring travis barker,11 minutes
you me at six,room to breathe
young guns,i want out
young the giant,cough syrup
young the giant,it's about time
young the giant,mind over matter
young the giant,my body
young the giant,something to believe in
young the giant,superposition
youngblood hawke,we come running
zac brown band featuring chris cornell,heavy is the head
zach williams,chain breaker
zach williams,old church choir
zakk wylde featuring corey taylor,sleeping dogs
adele,hello
adele,rolling in the deep
adele,set fire to the rain
adele,someone like you
alice in chains,hollow
alice in chains,stone
alice in chains,your decision
all that remains,stand up
alt-j,breezeblocks
alt-j,in cold blood
alt-j,left hand free
alter bridge,isolation
arctic monkeys,arabella
arctic monkeys,do i wanna know?
ariana grande,7 rings
avenged sevenfold,hail to the king
avenged sevenfold,shepherd of fire
avenged sevenfold,so far away
avicii,levels
avicii,wake me up
awolnation,sail
bad wolves,remember when
bad wolves,zombie
badflower,heroin
badflower,the jester
bastille,pompeii
beach house,lemon glow
beyonce,formation
beyonce,love on top
beyonce,run the world (girls)
billie eilish,bad guy
billie eilish,when the party's over
breaking benjamin,angels fall
breaking benjamin,failure
breaking benjamin,never again
breaking benjamin,torn in two
bring me the horizon,throne
bruno mars,grenade
bruno mars,just the way you are
bruno mars,locked out of heaven
bush,the sound of winter
cage the elephant,come a little closer
cage the elephant,mess around
cage the elephant,shake me down
cage the elephant,social cues
cage the elephant,trouble
calvin harris,feel so close
calvin harris,summer
carly rae jepsen,call me maybe
carly rae jepsen,i really like you
chevelle,face to the floor
chevelle,joyride (omen)
chevelle,take out the gunman
childish gambino,redbone
childish gambino,this is america
coldplay,a sky full of stars
coldplay,orphans
coldplay,paradise
daft punk,get lucky
david guetta feat. sia,titanium
deadmau5,ghosts 'n' stuff
device,vilify
dirty honey,when i'm gone
disturbed,a reason to fight
disturbed,another way to die
disturbed,are you ready
disturbed,no more
disturbed,open your eyes
disturbed,the light
disturbed,the sound of silence
disturbed,the vengeful one
drake,hotline bling
drake,one dance
dua lipa,new rules
ed sheeran,castle on the hill
ed sheeran,shape of you
ed sheeran,thinking out loud
elle king,ex's & oh's
eminem (featuring rihanna),love the way you lie
fall out boy,my songs know what you did in the dark
five finger death punch,battle born
five finger death punch,blue on black
five finger death punch,coming down
five finger death punch,lift me up
five finger death punch,sham pain
five finger death punch,wash it all away
five finger death punch,when the seasons change
flo rida,wild ones (feat. sia)
flora cash,you’re somebody else
florence + the machine,hunger
florence + the machine,shake it out
florence + the machine,spectrum (say my name)
florence + the machine,what kind of man
foo fighters,congregation
foo fighters,rope
foo fighters,run
foo fighters,something from nothing
foo fighters,the sky is a neighborhood
foo fighters,walk
foster the people,pumped up kicks
foster the people,sit next to me
fun. (featuring janelle monáe),we are young
fun. feat janelle monaé,we are young
fun.,carry on
fun.,some nights
fun.,we are young
ghost,dance macabre
ghost,rats
ghost,square hammer
godsmack,1000hp
godsmack,bulletproof
godsmack,cryin' like a bitch
godsmack,under your scars
godsmack,when legends rise
gotye featuring kimbra,somebody that i used to know
gotye,somebody that i used to know
grandson,blood // water
green day,bang bang
green day,father of all...
green day,oh love
green day,still breathing
greta van fleet,highway tune
greta van fleet,safari song
greta van fleet,when the curtain falls
greta van fleet,you're the one
halestorm,amen
halestorm,apocalyptic
halestorm,freak like me
halestorm,uncomfortable
half•alive,still feel
highly suspect,16
highly suspect,my name is human
hozier,take me to church
imagine dragons,believer
imagine dragons,demons
imagine dragons,natural
imagine dragons,radioactive
imagine dragons,thunder
imagine dragons,whatever it takes
j. cole,workout
jason aldean,dirt road anthem
john legend,all of me
justin bieber,love yourself
justin bieber,sorry
justin bieber,what do you mean?
justin timberlake,can't stop the feeling
kacey musgraves,follow your arrow
kanye west,runaway
kanye west,ultralight beam
katy perry,dark horse
katy perry,firework
katy perry,roar
kelly clarkson,stronger (what doesn't kill you)
kendrick lamar,alright
kendrick lamar,dna.
kendrick lamar,swimming pools (drank)
kesha,tik tok
korn,never never
lady gaga & bradley cooper,shallow
lady gaga,born this way
lana del rey,born to die
linkin park,burn it down
linkin park,guilty all the same
linkin park,the catalyst
linkin park,until it's gone
linkin park,waiting for the end
lmfao,party rock anthem
lorde,royals
lorde,team
lovelytheband,broken
luis fonsi feat. daddy yankee,despacito
m83,midnight city
macklemore & ryan lewis,thrift shop
mark ronson featuring bruno mars,uptown funk
maroon 5,moves like jagger
maroon 5,one more night
marshmello & bastille,happier
metallica,"atlas, rise!"
metallica,hardwired
morgxn featuring walk the moon,home
mumford & sons,i will wait
muse,madness
muse,panic station
muse,supremacy
my darkest days,porn star dancing
nickelback,edge of a revolution
nothing more,go to war
one direction,you and i
ozzy osbourne,let me hear you scream
ozzy osbourne,under the graveyard
panic! at the disco,"hey look ma, i made it"
panic! at the disco,high hopes
panic! at the disco,say amen (saturday night)
papa roach,born for greatness
papa roach,come around
papa roach,face everything and rise
papa roach,help
paramore,ain't it fun
paramore,hard times
paramore,now
paramore,rose-colored boy
paramore,still into you
passenger,let her go
passion pit,take a walk
pharrell williams,happy
"pitbull (featuring ne-yo, afrojack & nayer)",give me everything
pop evil,deal with the devil
pop evil,footsteps
pop evil,torn to pieces
pop evil,trenches
pop evil,waking lions
portugal. the man,feel it still
post malone,circles
post malone,congratulations
prince,purple rain
radiohead,burn the witch
red hot chili peppers,dark necessities
red hot chili peppers,the adventures of rain dance maggie
red sun rising,emotionless
red sun rising,the otherside
rihanna (featuring calvin harris),we found love
rihanna,diamonds
rival sons,do your worst
royal blood,figure it out
royal blood,i only lie when i love you
royal blood,lights out
royal blood,little monster
royal blood,out of the black
saving abel,the sex is good
seether,country song
seether,let you down
seether,tonight
seether,words as weapons
shinedown,bully
shinedown,cut the cord
shinedown,devil
shinedown,diamond eyes (boom-lay boom-lay boom)
shinedown,get up
shinedown,how did you love
shinedown,monsters
shinedown,state of my head
shinedown,the crow & the butterfly
shinedown,unity
sia,alive
sia,chandelier
sia,cheap thrills
sia,never give up
sia,unstoppable
silk city & dua lipa,electricity
sixx:a.m.,lies of the beautiful people
skillet,feel invincible
skrillex,bangarang
slash featuring myles kennedy and the conspirators,world on fire
slash featuring myles kennedy and the conspirators,you're a lie
slash,world on fire
slash,you're a lie
soundgarden,been away too long
soundgarden,by crooked steps
soundgarden,live to rise
staind,not again
stone sour,say you'll haunt me
stone sour,song #3
stone sour,tired
stone temple pilots with chester bennington,out of time
stone temple pilots,between the lines
tame impala,the less i know the better
taylor swift,blank space
taylor swift,shake it off
taylor swift,we are never ever getting back together
the black keys,fever
the black keys,gold on the ceiling
the black keys,lo/hi
the black keys,lonely boy
the black keys,tighten up
the chainsmokers,closer
the dirty heads,lay me down
the glorious sons,panic attack
the glorious sons,s.o.s. (sawed off shotgun)
the lumineers,ho hey
the national,bloodbuzz ohio
the offspring,coming for you
the pretty reckless,follow me down
the pretty reckless,heaven knows
the pretty reckless,messed up world (f'd up world)
the pretty reckless,take me down
the strokes,under cover of darkness
the weeknd,blinding lights
the weeknd,can't feel my face
the weeknd,the hills
theory of a deadman,lowlife
theory of a deadman,rx (medicate)
three days grace,break
three days grace,chalk outline
three days grace,i am machine
three days grace,infra-red
three days grace,misery loves my company
three days grace,painkiller
three days grace,right left wrong
three days grace,the good life
three days grace,the high road
three days grace,the mountain
three days grace,world so cold
tove lo,habits (stay high)
twenty one pilots,chlorine
twenty one pilots,heavydirtysoul
twenty one pilots,holding on to you
twenty one pilots,house of gold
twenty one pilots,jumpsuit
twenty one pilots,my blood
twenty one pilots,nico and the niners
twenty one pilots,tear in my heart
twenty one pilots,the hype
twenty one pilots,heathens
twenty one pilots,ride
twenty one pilots,stressed out
volbeat,black rose
volbeat,heaven nor hell
volbeat,last day under the sun
volbeat,lola montez
volbeat,still counting
volbeat,the devil's bleeding crown
volbeat,the hangman's body count
walk the moon,shut up and dance
x ambassadors,renegades
young guns,bones
zac brown band,heavy is the head
zayn,dusk till dawn (radio edit)
zedd feat. foxes,clarity
