Billy Preston,Nothing from Nothing
Dionne Warwick and The Spinners,Then Came You
Stevie Wonder,You Havent Done Nothin
Bachman-Turner Overdrive,You Aint Seen Nothing Yet
John Lennon,Whatever Gets You Thru the Night
Billy Swan,I Can Help
Carl Douglas,Kung Fu Fighting
Harry Chapin,Cats in the Cradle
Helen Reddy,Angie Baby
Elton John,Lucy in the Sky with Diamonds
Barry Manilow,Mandy
The Carpenters,Please Mr. Postman
Neil Sedaka,Laughter in the Rain
Ohio Players,Fire
Linda Ronstadt,Youre No Good
Average White Band,Pick Up the Pieces
Eagles,Best of My Love
Olivia Newton-John,Have You Never Been Mellow
The Doobie Brothers,Black Water
Frankie Valli,My Eyes Adored You
LaBelle,Lady Marmalade
Minnie Riperton,Lovin You
Elton John,Philadelphia Freedom
B. J. Thomas,(Hey Wont You Play) Another Somebody Done Somebody Wrong Song
Tony Orlando and Dawn,He Dont Love You (Like I Love You)
Earth, Wind & Fire,Shining Star
Freddy Fender,Before the Next Teardrop Falls
John Denver,Thank God Im a Country Boy
America,Sister Golden Hair
Captain & Tennille,Love Will Keep Us Together
Paul McCartney and Wings,Listen to What the Man Said
Van McCoy and the Soul City Symphony,The Hustle
Eagles,One of These Nights
Bee Gees,Jive Talkin
Hamilton, Joe Frank & Reynolds,Fallin in Love
KC and the Sunshine Band,Get Down Tonight
Glen Campbell,Rhinestone Cowboy
David Bowie,Fame
John Denver,Im Sorry
Neil Sedaka,Bad Blood
Elton John,Island Girl
KC and the Sunshine Band,Thats the Way (I Like It)
Silver Convention,Fly, Robin, Fly
The Staple Singers,Lets Do It Again
Bay City Rollers,Saturday Night
C. W. McCall,Convoy
Barry Manilow,I Write the Songs
Diana Ross,Theme from Mahogany (Do You Know Where Youre Going To)
Ohio Players,Love Rollercoaster
Paul Simon,50 Ways to Leave Your Lover
Rhythm Heritage,Theme From S.W.A.T.
The Miracles,Love Machine
The Four Seasons,December 1963 (Oh, What a Night)
Johnnie Taylor,Disco Lady
The Bellamy Brothers,Let Your Love Flow
John Sebastian,Welcome Back
The Sylvers,Boogie Fever
Wings,Silly Love Songs
Diana Ross,Love Hangover
Starland Vocal Band,Afternoon Delight
The Manhattans,Kiss and Say Goodbye
Elton John and Kiki Dee,Dont Go Breaking My Heart
Bee Gees,You Should Be Dancing
KC and the Sunshine Band,(Shake, Shake, Shake) Shake Your Booty
Wild Cherry,Play That Funky Music
Walter Murphy and the Big Apple Band,A Fifth of Beethoven
Rick Dees and His Cast of Idiots,Disco Duck
Chicago,If You Leave Me Now
Steve Miller Band,Rockn Me
Rod Stewart,Tonights the Night (Gonna Be Alright)
Marilyn McCoo and Billy Davis, Jr.,You Dont Have to Be a Star (To Be in My Show)
Leo Sayer,You Make Me Feel Like Dancing
Stevie Wonder,I Wish
Rose Royce,Car Wash
Mary MacGregor,Torn Between Two Lovers
Manfred Manns Earth Band,Blinded by the Light
Eagles,New Kid in Town
Barbra Streisand,Love Theme From A Star Is Born (Evergreen)
Daryl Hall and John Oates,Rich Girl
ABBA,Dancing Queen
David Soul,Dont Give Up on Us
Thelma Houston,Dont Leave Me This Way
Glen Campbell,Southern Nights
Eagles,Hotel California
Leo Sayer,When I Need You
Stevie Wonder,Sir Duke
KC and the Sunshine Band,Im Your Boogie Man
Fleetwood Mac,Dreams
Marvin Gaye,Got to Give It Up (Part 1)
Bill Conti,Gonna Fly Now (Theme From Rocky)
Alan ODay,Undercover Angel
Shaun Cassidy,Da Doo Ron Ron
Barry Manilow,Looks Like We Made It
Andy Gibb,I Just Want to Be Your Everything
The Emotions,Best of My Love
Meco,Star Wars Theme/Cantina Band
Debby Boone,You Light Up My Life
Bee Gees,How Deep Is Your Love
Player,Baby Come Back
Bee Gees,Stayin Alive
Andy Gibb,(Love Is) Thicker Than Water
Bee Gees,Night Fever
Yvonne Elliman,If I Cant Have You
Wings,With a Little Luck
Johnny Mathis and Deniece Williams,Too Much, Too Little, Too Late
John Travolta and Olivia Newton-John,Youre the One That I Want
Andy Gibb,Shadow Dancing
The Rolling Stones,Miss You
Commodores,Three Times a Lady
Frankie Valli,Grease
A Taste of Honey,Boogie Oogie Oogie
Exile,Kiss You All Over
Nick Gilder,Hot Child in the City
Anne Murray,You Needed Me
Donna Summer,MacArthur Park
Barbra Streisand and Neil Diamond,You Dont Bring Me Flowers
Chic,Le Freak
Bee Gees,Too Much Heaven
Rod Stewart,Da Ya Think Im Sexy?
Gloria Gaynor,I Will Survive
Bee Gees,Tragedy
The Doobie Brothers,What a Fool Believes
Amii Stewart,Knock on Wood
Blondie,Heart of Glass
Peaches & Herb,Reunited
Donna Summer,Hot Stuff
Bee Gees,Love You Inside Out
Anita Ward,Ring My Bell
Donna Summer,Bad Girls
Chic,Good Times
The Knack,My Sharona
Robert John,Sad Eyes
Michael Jackson,Dont Stop til You Get Enough
Herb Alpert,Rise
M,Pop Muzik
Eagles,Heartache Tonight
Commodores,Still
Barbra Streisand and Donna Summer,No More Tears (Enough Is Enough)
Styx,Babe
Rupert Holmes,Escape (The Piña Colada Song)
